postal_code,street,house_numbers,city,area,neighborhood,municipality,province
3192XW,Klein Profijtweg,10 t/m 265,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192XX,Spuistroomstraat,6 t/m 65,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192XZ,Goede Verwachtinghof,1 t/m 64,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192ZA,Prikkorf,1 t/m 119,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192ZB,Prikkorf,121 t/m 239,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192ZC,Prikkorf,2 t/m 120,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3192ZD,Prikkorf,122 t/m 250,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Zuid,Rotterdam,Zuid-Holland
3193AA,Abadanstraat,1 t/m 19,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AB,Abadanstraat,21 t/m 31,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AC,Abadanstraat,33 t/m 49,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AD,Abadanstraat,51 t/m 85,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AE,Abadanstraat,2 t/m 16,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AG,Abadanstraat,18 t/m 28,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AH,Abadanstraat,30 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AJ,Abadanstraat,44 t/m 78,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AK,Bakoestraat,2 t/m 30,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AS,Constanzastraat,18 t/m 24,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193AW,Schoonebeekweg,35 t/m 49,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BA,Venezuelaweg,2 t/m 14,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BB,Venezuelaweg,16 t/m 30,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BC,Venezuelaweg,32 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BD,Venezuelaweg,44 t/m 60,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BE,Venezuelaweg,62 t/m 68,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193BG,Venezuelaweg,70 t/m 120,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CA,Bahreinstraat,3 t/m 11,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CB,Bahreinstraat,13 t/m 23,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CC,Bahreinstraat,25 t/m 31,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CD,Bahreinstraat,33 t/m 81,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CE,Bahreinstraat,8 t/m 12,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CG,Bahreinstraat,24 t/m 30,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193CH,Bahreinstraat,32 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EA,Gaarde,1 t/m 37,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EB,Haifaweg,7 t/m 49,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EG,Koweitstraat,5 t/m 58,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EH,Mosoelstraat,1 t/m 17,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EJ,Mosoelstraat,19 t/m 29,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EK,Mosoelstraat,31 t/m 33,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EM,Oude Wal,37 t/m 55,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EN,Oude Wal,6 t/m 62,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193EP,Soronghof,4 t/m 25,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193ER,Sorongstraat,1 t/m 79,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193ES,Sorongstraat,6 t/m 26,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193ET,Lokhorsterland,1 t/m 63,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GA,Groothoefblad,9 t/m 13,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GB,Lavasweg,7 t/m 73,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GC,Lavasweg,87 t/m 109,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GD,Lavasweg,2 t/m 84,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GE,Lavasweg,90 t/m 124,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GG,Tijmweg,5 t/m 47,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GH,Tijmweg,53 t/m 91,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GJ,Wijnruitstraat,1 t/m 47,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GK,Wijnruitstraat,49 t/m 105,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GL,Wijnruitstraat,107 t/m 129,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GM,Wijnruitstraat,139 t/m 283,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GN,Wijnruitstraat,293 t/m 433,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GR,Wijnruitstraat,549 t/m 563,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GS,Wijnruitstraat,12 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GX,Wijnruitstraat,570 t/m 580,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193GZ,Flierefluiterpad,4 t/m 4,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JA,Kaneelhof,1 t/m 47,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JB,Kaneelhof,49 t/m 95,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JC,Kaneelhof,2 t/m 34,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JD,Kardoenhof,1 t/m 61,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JE,Kardoenhof,2 t/m 34,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JG,Kervelhof,1 t/m 61,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JH,Kervelhof,2 t/m 34,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JJ,Komijnhof,1 t/m 61,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JK,Komijnhof,2 t/m 34,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JL,Tijmweg,22 t/m 68,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JM,Tijmweg,70 t/m 116,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JN,Tijmweg,122 t/m 168,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JP,Tijmweg,170 t/m 216,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JR,Tijmweg,222 t/m 268,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193JS,Tijmweg,270 t/m 316,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193KA,Venkelweg,40 t/m 61,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193KC,Herikweg,5 t/m 7,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LA,Achterpad,20 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LB,Arubaplein,1 t/m 29,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LC,Aveling,9 t/m 65,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LD,Aveling,69 t/m 85,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LE,Aveling,87 t/m 237,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LG,Beemd,3 t/m 57,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LH,Beemd,4 t/m 54,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LJ,Cardonpad,1 t/m 5,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LK,Curaçaoplein,1 t/m 18,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LL,Meeuwenwetering,3 t/m 45,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LN,Nieuw Engeland,5 t/m 55,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LP,Nieuw Engeland,4 t/m 58,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LR,Tampicostraat,25 t/m 37,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LS,Texasweg,4 t/m 44,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LT,Texasweg,5 t/m 58,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LV,Eldersveld,3 t/m 21,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LW,Nieuw Engelandpad,3 t/m 18,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193LX,Langebakkersoord,4 t/m 42,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193NE,Voorweg,2 t/m 34,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193NG,Voorweg,36 t/m 60,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PA,Fidessapad,1 t/m 11,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PB,Ferdinand Huyckstraat,1 t/m 43,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PC,Iskanderhof,1 t/m 8,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PD,Jaromirhof,1 t/m 6,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PE,Digna Johannaweg,11 t/m 237,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PJ,Digna Johannaweg,380 t/m 390,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PK,Digna Johannaweg,392 t/m 422,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PL,Digna Johannaweg,424 t/m 590,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PM,Lauernessestraat,1 t/m 31,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PN,Lidewijdestraat,1 t/m 32,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PR,Willem Leevendstraat,1 t/m 32,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PS,Sinjeur Semeynshof,1 t/m 6,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PV,Pieter Stastokweg,85 t/m 105,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PW,Pieter Stastokweg,171 t/m 189,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PX,Pieter Stastokweg,263 t/m 419,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193PZ,Pieter Stastokweg,2 t/m 38,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193RA,Alsemstraat,33 t/m 87,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193RE,Alsemstraat,421 t/m 447,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193RG,Alsemstraat,250 t/m 308,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193RH,Alsemstraat,310 t/m 356,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193RL,Alsemstraat,430 t/m 444,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SB,Kalmoesstraat,5 t/m 35,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SC,Kalmoesstraat,37 t/m 67,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SE,Kalmoesstraat,4 t/m 56,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SG,Korianderstraat,1 t/m 55,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SJ,Korianderstraat,209 t/m 267,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SK,Korianderstraat,269 t/m 315,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193SL,Korianderstraat,321 t/m 347,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193ST,Korianderstraat,330 t/m 344,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TB,Sara Burgerhartweg,1 t/m 155,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TC,Berkelmanspad,3 t/m 3,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TE,Foeliestraat,6 t/m 78,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TH,Karwijstraat,11 t/m 103,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TJ,Karwijstraat,4 t/m 58,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TK,Majoraanpad,21 t/m 29,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TL,Majoraanpad,2 t/m 52,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TM,Meldepad,1 t/m 63,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TR,Eline Verestraat,3 t/m 27,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TS,Eline Verestraat,31 t/m 127,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TT,Eline Verestraat,12 t/m 80,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TV,Klaasje Zevensterstraat,149 t/m 159,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TW,Klaasje Zevensterstraat,6 t/m 376,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TX,Ajuinstraat,2 t/m 46,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193TZ,Venkelpad,1 t/m 29,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193VA,Max Havelaarweg,1 t/m 77,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193VB,Max Havelaarweg,4 t/m 50,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193VC,Max Havelaarweg,110 t/m 156,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193VD,Max Havelaarweg,160 t/m 210,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XA,Curcumastraat,11 t/m 47,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XB,Curcumastraat,2 t/m 36,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XC,Kaardebolstraat,11 t/m 47,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XD,Kaardebolstraat,2 t/m 36,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XE,Paprikastraat,9 t/m 35,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XG,Paprikastraat,2 t/m 36,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XH,Saffraanstraat,1 t/m 11,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XJ,Saffraanstraat,105 t/m 217,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XK,Saffraanstraat,219 t/m 265,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3193XM,Saffraanstraat,106 t/m 212,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AA,Hoefsmidstraat,2 t/m 56,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AB,Leerlooierstraat,4 t/m 145,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AC,Oppermanstraat,33 t/m 80,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AD,Pottebakkerstraat,15 t/m 21,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AE,Schrijnwerkerstraat,13 t/m 30,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AG,Steenhouwerstraat,10 t/m 72,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AH,Pernisseweg,51 t/m 93,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AJ,Vondelingenweg,496 t/m 496,Hoogvliet Rotterdam,Vondelingenplaat,Vondelingenplaat,Rotterdam,Zuid-Holland
3194AK,Suikerbakkerstraat,5 t/m 40,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AL,Tinnegieterstraat,3 t/m 15,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AM,Hoogvlietsekerkweg,54 t/m 182,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AN,Valckesteinweg,1 t/m 101,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AP,Bierbrouwerstraat,2 t/m 2,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194AR,Oudelandseweg,5 t/m 45,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BA,Toscalaan,11 t/m 61,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BC,Toscalaan,115 t/m 165,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BD,Toscalaan,12 t/m 36,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BG,Toscalaan,300 t/m 350,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BM,Toscalaan,560 t/m 576,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BN,Toscalaan,578 t/m 610,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BS,Toscalaan,690 t/m 764,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194BT,Toscalaan,766 t/m 814,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CB,Desdemonastraat,53 t/m 67,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CC,Desdemonastraat,121 t/m 153,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CD,Desdemonastraat,155 t/m 203,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CE,Desdemonastraat,205 t/m 241,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CG,Desdemonastraat,2 t/m 52,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CH,Desdemonastraat,54 t/m 74,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CJ,Desdemonastraat,76 t/m 130,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CL,Desdemonastraat,184 t/m 204,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CN,Desdemonastraat,262 t/m 312,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CP,Desdemonastraat,314 t/m 362,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194CR,Desdemonastraat,364 t/m 390,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DA,Mandenmakerstraat,23 t/m 81,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DB,Nieuwe Langeweg,20 t/m 40,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DC,Nieuwe Langeweg,21 t/m 175,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DD,Klompenmakerstraat,23 t/m 135,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DE,Klompenmakerstraat,2 t/m 80,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DG,Mandenmakerstraat,26 t/m 190,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DH,Koddeweg,1 t/m 200,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DJ,Kaasmakerstraat,2 t/m 48,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DK,Beurtschipperstraat,1 t/m 114,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
3194DL,Zadelmakerstraat,1 t/m 25,Hoogvliet Rotterdam,Hoogvliet,Hoogvliet Noord,Rotterdam,Zuid-Holland
